Название вакансии | Работодатель | Зарплата
Оператор 1C | Авшарский Винно-Коньячный Дом | 100000 - 150000 RUR
Оператор ПК | ТЕХНОНИКОЛЬ | 65000 - 66400 RUR
Диспетчер | Агрофирма Октябрьская | от 90000 RUR
Водитель | Тк | 130000 - 150000 RUR
Семейный водитель/Личный помощник | Кострюкова Александра Олеговна | 150000 - 170000 RUR
Заместитель директора по административным вопросам | ЕМК | не указана
Бухгалтер | А7-Агент | 145000 - 175000 RUR
Водитель | РБМ | от 80000 RUR
Ассистент продюсера | Virtus.pro | от 85000 RUR
Корпоративный психолог-консультант | Росатом Сервис | не указана
Водитель (Московская Область) | КАБУМ | до 350000 RUR
Водитель-снабженец | ЛУЧ | от 100000 RUR
Водитель | Рукие Матильда | до 200000 RUR
Наборщик на цветочный склад | Студия цветов Азалия | от 50000 RUR
Офис-менеджер | Кадровый центр Президент | от 200000 RUR
Водитель (Телеканал "78") | Медиа Бизнес Солюшенс | не указана
Сотрудник склада (оператор/кладовщик) | КАБУМ | 150000 - 300000 RUR
Контролер ОТК готовой продукции | АЭРОСКАН | от 80000 RUR
Оператор ПК | Киносклад Жар-Птица | 70000 - 100000 RUR
Операционный директор | StaffRecruitment | от 700000 RUR
Психолог-консультант | УИЦ МФП | 70000 - 90000 RUR
Администратор | Автономная некоммерческая организация Центр социальной поддержки и реабилитации | от 92000 RUR
Помощник депутата (секретарь в приемную) | Доступная среда | от 90000 RUR
Водитель персональный | СибРос | не указана
Персональный водитель | Family Office (ООО ОБУЧАЮЩИЙ ЦЕНТР) | от 150000 RUR
ИТ директор в крупный российский холдинг | Центр Карьерной Диагностики C.R.C. | не указана
Начальник отдела охраны труда и промышленной безопасности | Institute of Directors Moscow | 800000 - 1000000 RUR
Оператор по оформлению документов в 1С | Авто Ника | от 60000 RUR
Продавец-консультант зоотоваров | Мир хвостатых | 37000 - 55000 RUR
Семейный водитель | Моя Семья | от 150000 RUR
Персональный водитель первого лица компании | Группа Партнер | от 180000 RUR
Водитель | Энергия | 100000 - 100000 RUR
Ведущий специалист по кадровому делопроизводству | РЖД-Медицина | 198554 - 198554 RUR
Делопроизводитель | Магнитогорский металлообрабатывающий завод | от 50000 RUR
Охранник в загородный дом | Альфа Информ | 150000 - 150000 RUR
Семейный-офисный водитель | Негабарит 12 | от 80000 RUR
Генеральный директор | Золотая Вертикаль-Звенигород | не указана
Travel-manager | PUSY (Дрожь Бьюти) | от 120000 RUR
Стажёр / Менеджер маркетплейсов | Бояркина Анастасия Сергеевна | 15000 - 60000 RUR
Главный энергетик | Крупная производственная компания в г. Новосибирске (перерабатывающая промышленность) | 300000 - 400000 RUR
Охранник. Без учо. Берём всех | Констант ворк | от 105000 RUR
Домработница/домработник в дом | Семья и Персонал | 170000 - 220000 RUR
Личный / персональный водитель руководителя | Гринсити | от 100000 RUR
Исполнительный директор | Волготанкер | от 200000 RUR
Frontend-разработчик | Буст | 150000 - 200000 RUR
Чат-менеджер | ДОСТАЕВСКИЙ | 60000 - 80000 RUR
Специалист | Кировское областное государственное казенное учреждение Центр занятости населения города Кирова | от 50000 RUR
Хозяйка (хозяин) особняка | Be Brand People | от 60000 RUR
Директор по персоналу (HRD) | Крупная производственная компания | не указана
Специалист отдела ЗАГС Администрации города Пскова | Администрация города Пскова | от 31000 RUR
Специалист по кадровому делопроизводству | ПАКС | 73700 - 73700 RUR
Персональный водитель | Спутник Безопасности | от 150000 RUR
Младший продюсер / ассистент продюсера | RUTUBE | не указана
Водитель на служебном автомобиле | Ресторан FermA (ООО Континенталь) | от 100000 RUR
Психолог | Спасова Есения Дмитриевна | не указана
Исполнительный директор | Молот | не указана
Водитель легкового автомобиля | Завод Точных Деталей | от 60000 RUR
Охранник (гбр и охранник без лицензии) | ДорСтройГарант | от 150000 RUR
Оператор ПК/Оператор базы данных | АТП-6 | до 100000 RUR
Генеральный директор (CEO) | АРБАЙТ | не указана
Руководитель корпоративного университета | НЕБО | не указана
Персональный (семейный) водитель | АЛАНТЕРА | от 150000 RUR
Оператор ЭВМ | КГБУЗ ККПАБ | 50000 - 60000 RUR
Специалист по тестированию (junior) | aQsi | 80000 - 100000 RUR
Водитель категории B на автомобиль компании | СК-Инвест | 80000 - 80000 RUR
Ведущий специалист по трудовому праву | ИЭМЗ КУПОЛ | от 90000 RUR
Технический директор (директор по производству) | ЯЛВЗ | от 400000 RUR
Директор аквапарка "Лимпопо" | Mallino development group | до 190000 RUR
Персональный водитель | Альфамонолит | от 150000 RUR
Копирайтер (Телекомпания ПЯТНИЦА) | ГПМ Партнер | не указана
Водитель-перегонщик | Автохаус | от 80000 RUR
Наблюдатель на морских промысловых судах | Полярный Филиал ФГБНУ ВНИРО | 150000 - 150000 RUR
Курьер в офис | Стар Медиа Дистрибьюшн | 60000 - 60000 RUR
Сиделка-помощница/помощник по хозяйству для женщины 85 лет | Lingvo Nanny Agency | 140000 - 200000 RUR
Менеджер ресторана | Гусейнова Парване Махаррамовна | от 300000 RUR
QA тестировщик | Альтентетех | от 100000 RUR
Водитель | Завьялова Екатерина Васильевна | 80000 - 120000 RUR
Начальник отдела кадров | ЦРП | 150000 - 150000 RUR
Дизайнер презентаций | SberTech | от 280000 RUR
Администратор корпуса | ФГБУК Музей Мирового океана | от 50000 RUR
Руководитель канцелярии | Центр внедрения документооборота | от 150000 RUR
Персональный / Семейный водитель | Ресторан Bocconcino | от 150000 RUR
Секретарь-администратор | Артлайф | от 68965 RUR
Ведущий специалист цифровых проектов | АНО Хоккейный клуб Металлург | 120000 - 150000 RUR
Управляющий частным домом | Солнечная Алёна Евгеньевна | 85000 - 100000 RUR
Сотрудник охраны | КАБУМ | 150000 - 300000 RUR
Темщик в Ёбидоёби | Ёбидоёби, сеть доставки суши и роллов | не указана
Стажер в офис компании | Констант ворк | от 95000 RUR
Администратор | Лайн Продакшн | 80000 - 200000 RUR
Инженер по тестированию (QA - Web Team) | OneTwoTrip | не указана
Генеральный Директор (Производство/B2B) | Cornerstone Russia | не указана
Специалист по безопасности | ГАУ СО Агентство по развитию человеческого капитала | 200000 - 400000 RUR
Монтажник радиоэлектронной аппаратуры и приборов | ИЭМЗ КУПОЛ | от 150000 RUR
Контент-креатор | Азарова Марина Зурабовна | 45000 - 300000 RUR
Агент ритуальных услуг | Городская Ритуальная Служба Обряд | от 150000 RUR
Генеральный директор (беспилотная авиация) | Глори Эйр | от 800000 RUR
Охранник | РН-НефтьКапиталИнвест | от 103000 RUR
Директора департамента продвижения | Производственная компания | не указана
Исполнительный директор | РДВ Технолоджи | не указана
Директор по закупкам (Минеральные удобрения) | Бертэн | от 700000 RUR
Официант в итальянский ресторан La Riva | ЛА Рива | от 150000 RUR
Генеральный директор | GPD Group | 320000 - 600000 RUR
Заместитель Генерального Директора (в г. Калининград) | Стройтрансгаз, ГК | не указана
Водитель категории В на пикап | Карбон Трейд | от 65000 RUR
Администратор в компьютерный клуб | Магнитогорский металлургический комбинат | от 50000 RUR
Юрист | Промтех | 70000 - 90000 RUR
Cемейный водитель (сменный график) | Авиакомпания СкайЛайт | 130000 - 150000 RUR
Head of Creative | Звук | не указана
Агент Поддержки ВКонтакте | VK | не указана
Няня | БЭБИ-СИТТЕР | 200000 - 210000 RUR
Генеральный директор (start-up, малотоннажная химия) | РТ-Развитие бизнеса | не указана
Операционный директор проекта Технопарки | Девелоперская компания Петербурга | от 500000 RUR
Помощник по хозяйству | Соколова Ольга Анатольевна | 180000 - 180000 RUR
Территориальный руководитель | ВОЛМА | до 130500 RUR
Управляющий | Чага Наталья Алексеевна | от 100000 RUR
Администратор регистратуры | АльфаМед | от 50000 RUR
Водитель-экспедитор | Химэкс | от 108000 RUR
Заместитель директора по содержанию и качеству образования (Руководитель) | ОАНО Школа НИКА | от 345000 RUR
Ассистент руководителя | Инвест Ай Ти | от 60000 RUR
Личный водитель в семью | Смоленцева Кристина | 150000 - 150000 RUR
Водитель-экспедитор категории В | Лдк | 110000 - 120000 RUR
Директор юридического департамента | Производственная компания | не указана
Водитель для развозки сотрудников | Транспортная фирма Ветерок | от 70000 RUR
Технический директор | Империя | от 150000 RUR
Помощник по хозяйству | Базашвили Ламара | 100000 - 150000 RUR
Верстальщик/Frontend-разработчик (junior) | Стоматология Ультра-Дент (ООО Ультра-Мед) | от 60000 RUR
Бухгалтер | АССОРТИ | 70000 - 70000 RUR
Руководитель проекта | Соболев Николай Анатольевич | 250000 - 450000 RUR
Разнорабочий на сбор/разбор техники | Арсенал-БТ | от 180000 RUR
Корректор (русский язык) | Либете | 40000 - 50000 RUR
Директор по персоналу (HRD) | ГК Сумма Элементов | от 450000 RUR
Личный водитель | Агрохолдинг Красный Восток | не указана
Оператор станка по изготовлению салфеток | Бирюза | 60000 - 65000 RUR
Директор по персоналу (HRD) | Самойлова Алеся Александровна | не указана
Главный бухгалтер | КореаТрейд | от 350000 RUR
Управляющий рестораном | Мое кафе | 220000 - 350000 RUR
Начальник юридического отдела | Recruitment Boutique S.M.Art | не указана
Водитель автомобиля, категория "B" | Лдв Групп | от 140000 RUR
Руководитель юридического направления | Кадровое Агентство Уникальных Специалистов | от 500000 RUR
Мастер участка | Специальные Решения | от 200000 RUR
Диспетчер по кадрам и транспорту (НПЗ ЯНОС) | СК Столица | 90000 - 100000 RUR
Водитель | Сканэнергоконтроль | до 70000 RUR
Финансовый директор (CFO) | EXE.CTLY | не указана
Специалист отдела кадров | Кузбассуглепром | от 60000 RUR
Бухгалтер | Прокатмонтаж | от 90000 RUR
Руководитель | Ничаева Екатерина Николаевна | от 150000 RUR
Исполнительный директор | Волготанкер | от 200000 RUR
Персональный водитель руководителя | Бизнес Тренд | 150000 - 150000 RUR
Оператор 1C (вечер) | Ожогина Александра Андреевна | 65000 - 70000 RUR
Личный водитель | Миллениал Групп | от 150000 RUR
Диспетчер ритуальной службы | Мосгорритуал | 100000 - 150000 RUR
Инженер по строительству (республика Филиппины) | ПРОМЕТ | от 300000 RUR
Охранник личный | ДВТГ | 170000 - 170000 RUR
Заместитель директора по строительным вопросам | ФосАгро | не указана
Специалист по приему и размещению | Нефтемашстрой | от 40000 RUR
QA/Специалист по тестированию | ИЦ АЙ-ТЕКО | не указана
Администратор-охранник | УК Ника | 6000 - 7500 RUR
Охранник в офис на Павелецкой | Филиппов Александр Сергеевич | от 70400 RUR
Сомелье | Gynto Club | от 150000 RUR
Водитель | ВЭД Юг | не указана
Водитель категории В | Экострой | от 60000 RUR
Ведущий специалист по комплексной безопасности и антитеррористической защите | Интер Рао - Машиностроение | от 200000 RUR
Водитель | Шайко Артем | 140000 - 150000 RUR
Инженер по тестированию | СберОбразование | не указана
Персональный водитель (направление Новой Риги) | Частное лицо (не агентство) | до 140000 RUR
Специалист письменной поддержки (GDS) | Купибилет | от 110000 RUR
Главный бухгалтер (оптовая торговля) | Восхождение | 320000 - 320000 RUR
Водитель в Парк Патриот | Звезда | от 100000 RUR
Начальник отдела обеспечения деятельности | Управление Министерства юстиции Российской Федерации по Воронежской области | от 78000 RUR
Исполнительный директор | Спутник | от 250000 RUR
Руководитель кадровой службы | Завод Нефтяного Оборудования | 220000 - 220000 RUR
Водитель на автомобиле компании Mercedes-benz, Склад (категории B) | ВИМАРТ | до 7000 RUR
Комплектовщик на склад | Надежный аутсорсинг | 100000 - 128000 RUR
Администратор | Клиника Сударевой | 70000 - 120000 RUR
Доцент | Московский городской педагогический университет (ГАОУ ВО МГПУ) | от 74600 RUR
Тестировщик (ручное тестирование) | Ростелеком Информационные Технологии | не указана
Бухгалтер на первичную документацию | Чебомилк | от 70000 RUR
Ведущий экономист | НПО Аконит | 120000 - 150000 RUR
QA инженер | НПФ Газфонд пенсионные накопления | не указана
Специалист службы экономической безопасности | Статус | от 160000 RUR
Директор по девелопменту | Paper Planes | 400000 - 600000 RUR
Личный ассистент семьи | Пигарева Анна Павловна | 150000 - 150000 RUR
Диспетчер | Онежский судостроительно-судоремонтный завод | 57000 - 57000 RUR
Администратор футбольной команды | ГАУ РО Футбольный Клуб Рязань | от 47000 RUR
